Algorithm,n,Comparisons,Allocations,MaxDepth,Time(ns)
MergeSort,1000,10120,63,6,2179900
QuickSort,1000,10242,0,19,3482500
DeterministicSelect,1000,7801,0,3,1764500
ClosestPair,1000,1108,1108,10,12583200
MergeSort,1000,10381,63,6,1495400
QuickSort,1000,10976,0,23,2144700
DeterministicSelect,1000,7733,0,3,1207000
ClosestPair,1000,1151,1151,10,7904100
MergeSort,5000,58456,511,9,1675100
QuickSort,5000,66898,0,24,1716000
DeterministicSelect,5000,40087,0,4,1409400
ClosestPair,5000,6494,6494,12,7530700
MergeSort,10000,126893,1023,10,2706500
QuickSort,10000,155137,0,30,3076600
DeterministicSelect,10000,84126,0,4,4247900
ClosestPair,10000,12937,12937,13,16359400

MergeSort,1000,10318,63,6,2826000
QuickSort,1000,10437,0,19,4709200
DeterministicSelect,1000,7658,0,3,2559700
ClosestPair,1000,1138,1138,10,17528000
MergeSort,5000,58520,511,9,4236100
QuickSort,5000,68736,0,27,4138700
DeterministicSelect,5000,40154,0,4,4018600
ClosestPair,5000,6389,6389,12,22922900
MergeSort,10000,127221,1023,10,6929700
QuickSort,10000,159462,0,33,7743200
DeterministicSelect,10000,82156,0,4,12057100
ClosestPair,10000,12957,12957,13,63371600
